tick,action,sm_state,pos_x,pos_y
1,4,TRAVERSE,1056.0,-3616.0
2,4,TRAVERSE,1056.0,-3616.0
3,4,TRAVERSE,1056.0,-3616.0
4,4,TRAVERSE,1056.0,-3616.0
5,4,TRAVERSE,1056.0,-3616.0
6,4,TRAVERSE,1056.0,-3616.0
7,4,TRAVERSE,1056.0,-3616.0
8,4,TRAVERSE,1056.0,-3616.0
9,4,TRAVERSE,1056.0,-3616.0
10,4,TRAVERSE,1056.0,-3616.0
11,4,TRAVERSE,1056.0,-3616.0
12,4,TRAVERSE,1056.0,-3616.0
13,4,TRAVERSE,1056.0,-3616.0
14,4,TRAVERSE,1056.0,-3616.0
15,4,TRAVERSE,1056.0,-3616.0
16,4,TRAVERSE,1056.0,-3616.0
17,4,TRAVERSE,1056.0,-3616.0
18,4,TRAVERSE,1056.0,-3616.0
19,4,TRAVERSE,1056.0,-3616.0
20,4,TRAVERSE,1056.0,-3616.0
21,1,TRAVERSE,1056.0,-3616.0
22,1,TRAVERSE,1055.3,-3615.6
23,1,TRAVERSE,1054.0,-3614.9
24,1,TRAVERSE,1052.1,-3613.9
25,1,TRAVERSE,1049.7,-3612.6
26,1,TRAVERSE,1046.9,-3611.1
27,1,TRAVERSE,1043.6,-3609.3
28,1,TRAVERSE,1040.0,-3607.3
29,1,TRAVERSE,1036.0,-3605.2
30,1,TRAVERSE,1031.7,-3602.8
31,1,TRAVERSE,1027.1,-3600.3
32,1,TRAVERSE,1022.3,-3597.7
33,4,TRAVERSE,1017.2,-3595.0
34,1,TRAVERSE,1012.6,-3592.5
35,1,TRAVERSE,1007.7,-3589.9
36,1,TRAVERSE,1002.6,-3587.2
37,4,TRAVERSE,997.3,-3584.3
38,1,TRAVERSE,992.4,-3581.8
39,1,TRAVERSE,987.4,-3579.2
40,4,TRAVERSE,982.0,-3576.4
41,1,TRAVERSE,977.2,-3574.0
42,1,TRAVERSE,972.1,-3571.4
43,4,TRAVERSE,966.8,-3568.8
44,1,TRAVERSE,962.0,-3566.5
45,4,TRAVERSE,956.9,-3564.0
46,1,TRAVERSE,952.3,-3561.8
47,4,TRAVERSE,947.3,-3559.6
48,1,TRAVERSE,942.9,-3557.5
49,4,TRAVERSE,938.1,-3555.4
50,4,TRAVERSE,933.8,-3553.5
51,1,TRAVERSE,929.8,-3551.8
52,4,TRAVERSE,925.5,-3550.1
53,4,TRAVERSE,921.6,-3548.5
54,4,TRAVERSE,918.0,-3547.0
55,4,TRAVERSE,914.8,-3545.7
56,4,TRAVERSE,911.9,-3544.5
57,1,TRAVERSE,909.3,-3543.5
58,1,TRAVERSE,906.1,-3542.4
59,1,TRAVERSE,902.4,-3541.4
60,1,TRAVERSE,898.4,-3540.4
61,1,TRAVERSE,893.9,-3539.4
62,1,TRAVERSE,889.0,-3538.4
63,1,TRAVERSE,883.9,-3537.5
64,1,TRAVERSE,878.4,-3536.6
65,1,TRAVERSE,872.7,-3535.6
66,1,TRAVERSE,866.7,-3534.7
67,8,TRAVERSE,860.6,-3533.8
68,8,TRAVERSE,855.0,-3533.0
69,8,TRAVERSE,849.9,-3532.2
70,8,TRAVERSE,845.3,-3531.6
71,8,TRAVERSE,841.1,-3530.9
72,8,TRAVERSE,837.3,-3530.4
73,8,TRAVERSE,833.9,-3529.9
74,8,TRAVERSE,830.8,-3529.4
75,8,TRAVERSE,828.0,-3529.0
76,8,TRAVERSE,825.4,-3528.6
77,8,TRAVERSE,823.1,-3528.3
78,8,TRAVERSE,821.0,-3528.0
79,8,TRAVERSE,819.1,-3527.7
80,8,TRAVERSE,817.4,-3527.5
81,8,TRAVERSE,815.9,-3527.2
82,8,TRAVERSE,814.4,-3527.0
83,8,TRAVERSE,813.2,-3526.8
84,8,TRAVERSE,812.0,-3526.7
85,8,TRAVERSE,811.0,-3526.5
86,8,TRAVERSE,810.0,-3526.4
87,8,TRAVERSE,809.1,-3526.2
88,8,TRAVERSE,808.4,-3526.1
89,8,TRAVERSE,807.7,-3526.0
90,8,TRAVERSE,807.0,-3525.9
91,8,TRAVERSE,806.4,-3525.8
92,1,TRAVERSE,805.9,-3525.8
93,1,TRAVERSE,805.3,-3524.9
94,1,TRAVERSE,804.8,-3523.4
95,1,TRAVERSE,804.2,-3521.2
96,1,TRAVERSE,803.6,-3518.4
97,1,TRAVERSE,803.0,-3515.2
98,1,TRAVERSE,802.3,-3511.4
99,1,TRAVERSE,801.7,-3507.3
100,1,TRAVERSE,801.0,-3502.7
101,1,TRAVERSE,800.4,-3497.8
102,1,TRAVERSE,799.7,-3492.6
103,1,TRAVERSE,799.0,-3487.1
104,1,TRAVERSE,798.3,-3481.3
105,1,TRAVERSE,797.6,-3475.3
106,1,RECOVER,796.9,-3469.0
107,1,RECOVER,796.2,-3462.6
108,1,RECOVER,795.5,-3456.0
109,1,RECOVER,794.7,-3449.3
110,1,RECOVER,794.0,-3442.4
111,1,RECOVER,793.3,-3435.3
112,1,RECOVER,792.6,-3428.2
113,1,RECOVER,791.8,-3420.9
114,1,RECOVER,791.1,-3413.6
115,1,RECOVER,790.3,-3406.1
116,1,RECOVER,789.6,-3398.6
117,1,RECOVER,788.9,-3391.0
118,1,RECOVER,788.1,-3383.4
119,8,RECOVER,787.4,-3375.6
120,1,RECOVER,786.7,-3368.6
121,1,RECOVER,786.0,-3361.5
122,1,RECOVER,785.4,-3354.3
123,1,RECOVER,784.7,-3347.0
124,1,RECOVER,784.1,-3339.5
125,1,RECOVER,783.5,-3332.0
126,1,RECOVER,782.9,-3324.4
127,1,RECOVER,782.3,-3316.8
128,8,RECOVER,781.7,-3309.1
129,1,RECOVER,781.2,-3302.1
130,1,RECOVER,780.7,-3294.9
131,1,RECOVER,780.2,-3287.7
132,1,RECOVER,779.7,-3280.4
133,1,RECOVER,779.3,-3273.0
134,1,RECOVER,778.9,-3265.4
135,8,RECOVER,778.4,-3257.9
136,1,RECOVER,778.1,-3251.0
137,1,RECOVER,777.7,-3244.0
138,1,RECOVER,777.4,-3236.8
139,1,RECOVER,777.2,-3229.6
140,1,RECOVER,776.9,-3222.2
141,8,RECOVER,776.7,-3214.8
142,1,RECOVER,776.5,-3208.0
143,1,RECOVER,776.3,-3201.1
144,1,RECOVER,776.2,-3194.1
145,8,RECOVER,776.1,-3187.0
146,1,RECOVER,776.0,-3180.5
147,1,RECOVER,776.0,-3173.8
148,1,RECOVER,776.0,-3167.0
149,1,RECOVER,776.1,-3160.1
150,8,RECOVER,776.2,-3153.0
151,1,RECOVER,776.3,-3146.6
152,1,RECOVER,776.5,-3140.0
153,1,RECOVER,776.7,-3133.2
154,8,RECOVER,776.9,-3126.3
155,1,RECOVER,777.2,-3120.1
156,1,RECOVER,777.5,-3113.6
157,8,RECOVER,777.9,-3107.0
158,1,RECOVER,778.2,-3101.0
159,1,RECOVER,778.7,-3094.8
160,8,RECOVER,779.2,-3088.5
161,1,RECOVER,779.6,-3082.7
162,8,RECOVER,780.2,-3076.6
163,8,SCAN,780.7,-3071.2
164,8,SCAN,781.2,-3066.2
165,8,SCAN,781.6,-3061.8
166,8,SCAN,782.0,-3057.7
167,8,SCAN,782.3,-3054.0
168,8,SCAN,782.6,-3050.7
169,8,SCAN,782.9,-3047.7
170,8,SCAN,783.1,-3044.9
171,8,SCAN,783.4,-3042.5
172,8,SCAN,783.6,-3040.2
173,8,SCAN,783.8,-3038.2
174,8,SCAN,784.0,-3036.3
175,8,SCAN,784.1,-3034.7
176,8,SCAN,784.2,-3033.1
177,8,SCAN,784.4,-3031.8
178,8,SCAN,784.5,-3030.5
179,8,SCAN,784.6,-3029.4
180,8,SCAN,784.7,-3028.4
181,8,SCAN,784.8,-3027.4
182,8,SCAN,784.9,-3026.6
183,8,SCAN,784.9,-3025.8
184,8,SCAN,785.0,-3025.1
185,8,SCAN,785.1,-3024.5
186,8,SCAN,785.1,-3024.0
187,8,SCAN,785.2,-3023.4
188,8,SCAN,785.2,-3023.0
189,8,SCAN,785.2,-3022.6
190,8,SCAN,785.3,-3022.2
191,8,SCAN,785.3,-3021.8
192,8,SCAN,785.3,-3021.5
193,8,SCAN,785.4,-3021.2
194,8,SCAN,785.4,-3021.0
195,8,SCAN,785.4,-3020.7
196,8,SCAN,785.4,-3020.5
197,8,SCAN,785.4,-3020.3
198,8,SCAN,785.5,-3020.2
199,8,SCAN,785.5,-3020.0
200,8,SCAN,785.5,-3019.9
201,8,SCAN,785.5,-3019.7
202,8,SCAN,785.5,-3019.6
203,8,SCAN,785.5,-3019.5
204,8,SCAN,785.5,-3019.4
205,8,SCAN,785.5,-3019.3
206,8,SCAN,785.5,-3019.2
207,8,SCAN,785.5,-3019.2
208,8,SCAN,785.6,-3019.1
209,8,SCAN,785.6,-3019.0
210,8,SCAN,785.6,-3019.0
211,8,SCAN,785.6,-3019.0
212,8,SCAN,785.6,-3019.0
213,8,SCAN,785.6,-3019.0
214,8,SCAN,785.6,-3019.0
215,8,SCAN,785.6,-3019.0
216,8,SCAN,785.6,-3019.0
217,8,SCAN,785.6,-3019.0
218,8,SCAN,785.6,-3019.0
219,8,SCAN,785.6,-3019.0
220,8,SCAN,785.6,-3019.0
221,8,SCAN,785.6,-3019.0
222,8,SCAN,785.6,-3019.0
