2026-02-02 15:11:56,463 - INFO - Starting Doom Agent with WAD: DOOM\wads\doom2.wad
2026-02-02 15:11:57,237 - INFO - Game initialized with WAD: DOOM\wads\doom2.wad
2026-02-02 15:11:57,239 - INFO - ============================================================
2026-02-02 15:11:57,239 - INFO - Starting new episode
2026-02-02 15:11:57,239 - INFO - ============================================================
2026-02-02 15:11:57,259 - INFO - Episode started successfully
2026-02-02 15:11:57,260 - INFO - Step 0: Health=100 Ammo=50 Kills=0 Enemies=2 Actions=['MOVE_LEFT', 'ATTACK']
2026-02-02 15:11:57,474 - INFO - Step 20: Health=100 Ammo=44 Kills=-101 Enemies=3 Actions=['MOVE_LEFT', 'ATTACK']
2026-02-02 15:11:57,651 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:57,700 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:57,752 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:57,803 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:57,852 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:57,905 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:57,962 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:58,021 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:58,070 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:58,117 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:58,118 - INFO - Step 40: Health=100 Ammo=41 Kills=-162 Enemies=0 Actions=['RIGHT_TURN']
2026-02-02 15:11:58,165 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:58,218 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:58,264 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:58,314 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:58,368 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:58,416 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:58,462 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:58,514 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:11:58,561 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
